,temporada,jornada,fecha,hora,estadio,local,visit,local_goals,visit_goals,minutos_local,minutos_visit,goles_local,goles_visit,tiros_gol_local,tiros_gol_visit,tiros_esquina_local,tiros_esquina_visit,cambios_local,cambios_visit,fuera_lugar_local,fuera_lugar_visit,amarilla_local,amarilla_visit,roja_local,roja_visit
0,Torneo de Apertura / Temporada 2024-2025,1,"Jueves, 4 de Julio de 2024",17:00 hrs.,Victoria,Necaxa,Pachuca,0,5,[],"[4, 13, 38, 78, 86]",0.0,5.0,1.0085836909871244,8.025751072961373,0.0,3.004291845493562,4.012875536480687,5.0,1.9957081545064377,0.0,1.9957081545064377,1.0085836909871244,1.0085836909871244,1.0085836909871244
1,Torneo de Apertura / Temporada 2024-2025,1,"Jueves, 4 de Julio de 2024",21:06 hrs.,Olímpico Benito Juárez,FC Juárez,Guadalajara,0,1,[],[30],0.0,1.0,7.037735849056602,3.0188679245283017,0.0,4.018867924528301,5.018867924528301,5.018867924528301,0.0,3.0188679245283017,2.0188679245283017,3.0188679245283017,0.0,0.0
2,Torneo de Apertura / Temporada 2024-2025,1,"Viernes, 5 de Julio de 2024",17:00 hrs.,Olímpico Universitario,Pumas,León,2,0,"[80, 84]",[],2.0,0.0,6.97196261682243,6.990654205607476,4.97196261682243,2.0,4.97196261682243,4.97196261682243,2.990654205607477,0.0,2.0,2.0,0.0,0.0
3,Torneo de Apertura / Temporada 2024-2025,1,"Sábado, 6 de Julio de 2024",19:00 hrs.,TSM Corona,Santos Laguna,Toluca,0,2,[],"[26, 42]",0.0,2.0,1.006711409395973,2.0,2.0,4.0,5.006711409395973,5.020134228187919,0.0,2.0,2.0,0.0,0.0,0.0
4,Torneo de Apertura / Temporada 2024-2025,1,"Domingo, 7 de Julio de 2024",12:00 hrs.,Cuauhtémoc,Puebla F.C.,Rayadas,0,1,[],[52],0.0,1.0,1.0,9.121951219512194,3.024390243902439,3.024390243902439,5.048780487804878,4.048780487804878,1.0,0.0,1.0,1.0,0.0,0.0
5,Torneo de Apertura / Temporada 2024-2025,1,"Domingo, 7 de Julio de 2024",12:00 hrs.,INSTALACIONES LA NORIA,Cruz Azul,América,2,1,"[14, 82]",[24],2.0,1.006711409395973,4.0,3.0067114093959733,2.0,5.020134228187919,2.0,3.0067114093959733,0.013422818791946286,5.020134228187919,0.0,1.006711409395973,0.0,0.0
6,Torneo de Apertura / Temporada 2024-2025,1,"Domingo, 7 de Julio de 2024",17:00 hrs.,Estadio Olímpico Alameda,Querétaro,Club Tijuana,1,0,[45],[],1.0,0.0,3.9733333333333336,2.986666666666667,4.973333333333334,4.986666666666666,2.986666666666667,4.986666666666666,0.0,0.0,1.9866666666666668,1.9866666666666668,0.0,1.0
7,Torneo de Apertura / Temporada 2024-2025,1,"Domingo, 7 de Julio de 2024",17:00 hrs.,Alfonso Lastras Ramírez,Atlético de San Luis,Mazatlán FC,1,0,[24],[],1.0,0.0,9.097560975609756,3.024390243902439,2.024390243902439,6.073170731707317,4.048780487804878,1.0,1.0,5.048780487804878,5.048780487804878,2.024390243902439,0.0,0.0
8,Torneo de Apertura / Temporada 2024-2025,1,"Domingo, 7 de Julio de 2024",19:00 hrs.,Jalisco,Atlas,Tigres,1,3,[46],"[17, 40, 90]",1.0,2.986666666666667,4.973333333333334,3.9733333333333336,1.9866666666666668,4.986666666666666,3.9733333333333336,4.986666666666666,1.0,2.986666666666667,2.986666666666667,1.0,0.0,0.0
9,Torneo de Apertura / Temporada 2024-2025,2,"Viernes, 19 de Julio de 2024",17:00 hrs.,Nemesio Diez,Toluca,Pumas,1,2,[7],"[18, 44]",1.0,1.9787234042553192,4.957446808510639,1.9787234042553192,7.936170212765958,2.9787234042553195,4.957446808510639,1.0,0.0,3.9574468085106385,4.957446808510639,1.9787234042553192,0.0,0.0
