,temporada,jornada,fecha,hora,estadio,local,visit,local_goals,visit_goals,minutos_local,minutos_visit,goles_local,goles_visit,tiros_gol_local,tiros_gol_visit,tiros_esquina_local,tiros_esquina_visit,cambios_local,cambios_visit,fuera_lugar_local,fuera_lugar_visit,amarilla_local,amarilla_visit,roja_local,roja_visit
0,Torneo de Clausura / Temporada 2024-2025,1,"Viernes, 3 de Enero de 2025",19:00 hrs.,Jalisco,Atlas,Santos Laguna,1,3,[49],"[4, 18, 60]",1.0,3.0,3.0,4.0,6.0,1.0,4.0,4.0,0.0,5.0,1.0,4.0,0.0,0.0
1,Torneo de Clausura / Temporada 2024-2025,1,"Sábado, 4 de Enero de 2025",12:00 hrs.,Olímpico Universitario,Pumas,Atlético de San Luis,2,0,"[8, 53]",[],2.0,0.0,7.0,3.0,6.0,6.0,2.0,5.0,2.0,1.0,1.0,2.0,0.0,0.0
2,Torneo de Clausura / Temporada 2024-2025,1,"Domingo, 5 de Enero de 2025",19:00 hrs.,Nou Camp,León,Toluca,1,1,[57],[44],1.0,1.0,3.0,4.0,8.0,2.0,4.0,3.0,9.0,4.0,2.0,5.0,0.0,0.0
3,Torneo de Clausura / Temporada 2024-2025,1,"Domingo, 5 de Enero de 2025",20:06 hrs. - 21:06 HC.,El Encanto,Mazatlán FC,Rayadas,0,7,[],"[9, 35, 57, 61, 66, 81, 86]",0.0,7.0,2.0,7.0,0.0,9.0,1.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0
4,Torneo de Clausura / Temporada 2024-2025,1,"Lunes, 6 de Enero de 2025",17:00 hrs.,Victoria,Necaxa,Guadalajara,0,3,[],"[5, 81, 86]",0.0,3.0,4.0,7.0,3.0,5.0,4.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0
5,Torneo de Clausura / Temporada 2024-2025,1,"Lunes, 6 de Enero de 2025",17:00 hrs.,La Corregidora,Querétaro,Pachuca,1,7,[10],"[2, 8, 35, 37, 69, 78, 80]",1.0,7.0,3.0,9.0,1.0,6.0,4.0,5.0,1.0,1.0,0.0,2.0,1.0,0.0
6,Torneo de Clausura / Temporada 2024-2025,1,"Lunes, 6 de Enero de 2025",18:00 hrs. - 19:00 HC.,Olímpico Benito Juárez,FC Juárez,Puebla F.C.,3,0,"[37, 70, 82]",[],3.0,0.0,9.0,4.0,8.0,2.0,5.0,4.0,4.0,0.0,2.0,1.0,0.0,0.0
7,Torneo de Clausura / Temporada 2024-2025,1,"Lunes, 6 de Enero de 2025",19:10 hrs.,Ciudad De Los Deportes,América,Cruz Azul,2,1,"[53, 61]",[23],2.0,1.0,12.0,5.0,7.0,5.0,3.0,4.0,5.0,0.0,0.0,2.0,0.0,0.0
8,Torneo de Clausura / Temporada 2024-2025,1,"Lunes, 6 de Enero de 2025",21:06 hrs.,Universitario,Tigres,Club Tijuana,1,2,[30],"[88, 68]",1.0,2.0,10.0,1.0,6.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,0.0,0.0
9,Torneo de Clausura / Temporada 2024-2025,2,"Jueves, 9 de Enero de 2025",17:00 hrs.,Nemesio Diez,Toluca,Mazatlán FC,5,0,"[11, 17, 57, 3, 28]",[],5.0,0.0,9.0,4.0,7.0,3.0,5.0,3.0,1.0,3.0,2.0,1.0,0.0,0.0
10,Torneo de Clausura / Temporada 2024-2025,2,"Jueves, 9 de Enero de 2025",19:00 hrs.,Jalisco,Atlas,Pachuca,2,3,"[78, 90]","[9, 71, 79]",2.0,3.0,4.0,5.0,7.0,7.0,3.0,5.0,2.0,3.0,0.0,2.0,0.0,0.0
11,Torneo de Clausura / Temporada 2024-2025,2,"Jueves, 9 de Enero de 2025",21:00 hrs.,Estadio BBVA,Rayadas,Pumas,2,1,"[9, 70]",[25],2.0,1.0,5.0,8.0,9.0,10.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
12,Torneo de Clausura / Temporada 2024-2025,2,"Viernes, 10 de Enero de 2025",17:00 hrs.,TSM Corona,Santos Laguna,Guadalajara,0,1,[],[53],0.0,1.0,3.0,6.0,1.0,2.0,5.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0
13,Torneo de Clausura / Temporada 2024-2025,2,"Viernes, 10 de Enero de 2025",17:00 hrs.,Ciudad De Los Deportes,América,Querétaro,7,0,"[1, 9, 12, 30, 37, 60, 64]",[],7.0,0.0,11.0,0.0,12.0,0.0,9.0,9.0,4.0,0.0,2.0,4.0,0.0,2.0
14,Torneo de Clausura / Temporada 2024-2025,2,"Sábado, 11 de Enero de 2025",17:00 hrs.,Nou Camp,León,Atlético de San Luis,0,1,[],[71],0.0,1.0,4.0,1.0,5.0,3.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
15,Torneo de Clausura / Temporada 2024-2025,2,"Domingo, 12 de Enero de 2025",12:00 hrs.,Cuauhtémoc,Puebla F.C.,Tigres,0,3,[],"[27, 50, 51]",0.0,3.0,1.0,8.0,2.0,5.0,5.0,5.0,1.0,5.0,0.0,1.0,0.0,0.0
16,Torneo de Clausura / Temporada 2024-2025,2,"Domingo, 12 de Enero de 2025",15:45 hrs.,Instalaciones la Noria Cancha 1,Cruz Azul,Club Tijuana,1,1,[56],[1],1.0,1.0,7.0,2.0,10.0,1.0,5.0,5.0,3.0,3.0,0.0,4.0,0.0,0.0
17,Torneo de Clausura / Temporada 2024-2025,2,"Domingo, 12 de Enero de 2025",17:00 hrs. - 18:00 HC.,Olímpico Benito Juárez,FC Juárez,Necaxa,1,0,[60],[],1.0,0.0,7.0,2.0,8.0,1.0,5.0,5.0,0.0,0.0,3.0,2.0,0.0,0.0
18,Torneo de Clausura / Temporada 2024-2025,3,"Martes, 14 de Enero de 2025",17:00 hrs.,Olímpico Universitario,Pumas,Santos Laguna,6,1,"[2, 11, 21, 45, 54, 69]",[80],6.0,1.0,4.0,5.0,3.0,4.0,5.0,5.0,3.0,2.0,1.0,2.0,0.0,0.0
19,Torneo de Clausura / Temporada 2024-2025,3,"Miercoles, 15 de Enero de 2025",15:45 hrs.,Hidalgo,Pachuca,Cruz Azul,2,2,"[33, 46]","[45, 69]",2.0,2.0,5.0,7.0,5.0,5.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0
20,Torneo de Clausura / Temporada 2024-2025,3,"Miercoles, 15 de Enero de 2025",18:00 hrs.,Alfonso Lastras Ramírez,Atlético de San Luis,Rayadas,1,0,[19],[],1.0,0.0,3.0,3.0,3.0,5.0,5.0,5.0,0.0,1.0,6.0,0.0,0.0,0.0
21,Torneo de Clausura / Temporada 2024-2025,3,"Miercoles, 15 de Enero de 2025",19:00 hrs.,Cuauhtémoc,Puebla F.C.,León,1,2,[14],"[48, 60]",1.0,2.0,5.0,11.0,1.0,11.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,0.0
22,Torneo de Clausura / Temporada 2024-2025,3,"Miercoles, 15 de Enero de 2025",20:00 hrs.,La Corregidora,Querétaro,Mazatlán FC,3,1,"[20, 64, 75]",[53],3.0,1.0,6.0,5.0,0.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0,2.0,0.0
23,Torneo de Clausura / Temporada 2024-2025,3,"Jueves, 16 de Enero de 2025",15:45 hrs.,Instalaciones Casa Club Necaxa Cancha 1,Necaxa,América,0,5,[],"[31, 39, 45, 61, 65]",0.0,5.0,0.0,9.0,0.0,10.0,5.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0
